date_key,full_date,day,month,month_name,quarter,year,week_day,weekend_flag
20170327,2017-03-27,27,3,March,1,2017,Monday,False
20170328,2017-03-28,28,3,March,1,2017,Tuesday,False
20170329,2017-03-29,29,3,March,1,2017,Wednesday,False
20170330,2017-03-30,30,3,March,1,2017,Thursday,False
20170331,2017-03-31,31,3,March,1,2017,Friday,False
20170401,2017-04-01,1,4,April,2,2017,Saturday,True
20170402,2017-04-02,2,4,April,2,2017,Sunday,True
20170403,2017-04-03,3,4,April,2,2017,Monday,False
20170404,2017-04-04,4,4,April,2,2017,Tuesday,False
20170405,2017-04-05,5,4,April,2,2017,Wednesday,False
20170406,2017-04-06,6,4,April,2,2017,Thursday,False
20170407,2017-04-07,7,4,April,2,2017,Friday,False
20170408,2017-04-08,8,4,April,2,2017,Saturday,True
20170409,2017-04-09,9,4,April,2,2017,Sunday,True
20170410,2017-04-10,10,4,April,2,2017,Monday,False
20170411,2017-04-11,11,4,April,2,2017,Tuesday,False
20170412,2017-04-12,12,4,April,2,2017,Wednesday,False
20170413,2017-04-13,13,4,April,2,2017,Thursday,False
20170414,2017-04-14,14,4,April,2,2017,Friday,False
20170415,2017-04-15,15,4,April,2,2017,Saturday,True
20170416,2017-04-16,16,4,April,2,2017,Sunday,True
20170417,2017-04-17,17,4,April,2,2017,Monday,False
20170418,2017-04-18,18,4,April,2,2017,Tuesday,False
20170419,2017-04-19,19,4,April,2,2017,Wednesday,False
20170420,2017-04-20,20,4,April,2,2017,Thursday,False
20170421,2017-04-21,21,4,April,2,2017,Friday,False
20170422,2017-04-22,22,4,April,2,2017,Saturday,True
20170423,2017-04-23,23,4,April,2,2017,Sunday,True
20170424,2017-04-24,24,4,April,2,2017,Monday,False
20170425,2017-04-25,25,4,April,2,2017,Tuesday,False
20170426,2017-04-26,26,4,April,2,2017,Wednesday,False
20170427,2017-04-27,27,4,April,2,2017,Thursday,False
20170428,2017-04-28,28,4,April,2,2017,Friday,False
20170429,2017-04-29,29,4,April,2,2017,Saturday,True
20170430,2017-04-30,30,4,April,2,2017,Sunday,True
20170501,2017-05-01,1,5,May,2,2017,Monday,False
20170502,2017-05-02,2,5,May,2,2017,Tuesday,False
20170503,2017-05-03,3,5,May,2,2017,Wednesday,False
20170504,2017-05-04,4,5,May,2,2017,Thursday,False
20170505,2017-05-05,5,5,May,2,2017,Friday,False
20170506,2017-05-06,6,5,May,2,2017,Saturday,True
20170507,2017-05-07,7,5,May,2,2017,Sunday,True
20170508,2017-05-08,8,5,May,2,2017,Monday,False
20170509,2017-05-09,9,5,May,2,2017,Tuesday,False
20170510,2017-05-10,10,5,May,2,2017,Wednesday,False
20170511,2017-05-11,11,5,May,2,2017,Thursday,False
20170512,2017-05-12,12,5,May,2,2017,Friday,False
20170513,2017-05-13,13,5,May,2,2017,Saturday,True
20170514,2017-05-14,14,5,May,2,2017,Sunday,True
20170515,2017-05-15,15,5,May,2,2017,Monday,False
20170516,2017-05-16,16,5,May,2,2017,Tuesday,False
20170517,2017-05-17,17,5,May,2,2017,Wednesday,False
20170518,2017-05-18,18,5,May,2,2017,Thursday,False
20170519,2017-05-19,19,5,May,2,2017,Friday,False
20170520,2017-05-20,20,5,May,2,2017,Saturday,True
20170521,2017-05-21,21,5,May,2,2017,Sunday,True
20170522,2017-05-22,22,5,May,2,2017,Monday,False
20170523,2017-05-23,23,5,May,2,2017,Tuesday,False
20170524,2017-05-24,24,5,May,2,2017,Wednesday,False
20170525,2017-05-25,25,5,May,2,2017,Thursday,False
20170526,2017-05-26,26,5,May,2,2017,Friday,False
20170527,2017-05-27,27,5,May,2,2017,Saturday,True
20170528,2017-05-28,28,5,May,2,2017,Sunday,True
20170529,2017-05-29,29,5,May,2,2017,Monday,False
20170530,2017-05-30,30,5,May,2,2017,Tuesday,False
20170531,2017-05-31,31,5,May,2,2017,Wednesday,False
20170601,2017-06-01,1,6,June,2,2017,Thursday,False
20170602,2017-06-02,2,6,June,2,2017,Friday,False
20170603,2017-06-03,3,6,June,2,2017,Saturday,True
20170604,2017-06-04,4,6,June,2,2017,Sunday,True
20170605,2017-06-05,5,6,June,2,2017,Monday,False
20170606,2017-06-06,6,6,June,2,2017,Tuesday,False
20170607,2017-06-07,7,6,June,2,2017,Wednesday,False
20170608,2017-06-08,8,6,June,2,2017,Thursday,False
20170609,2017-06-09,9,6,June,2,2017,Friday,False
20170610,2017-06-10,10,6,June,2,2017,Saturday,True
20170611,2017-06-11,11,6,June,2,2017,Sunday,True
20170612,2017-06-12,12,6,June,2,2017,Monday,False
20170613,2017-06-13,13,6,June,2,2017,Tuesday,False
20170614,2017-06-14,14,6,June,2,2017,Wednesday,False
20170615,2017-06-15,15,6,June,2,2017,Thursday,False
20170616,2017-06-16,16,6,June,2,2017,Friday,False
20170617,2017-06-17,17,6,June,2,2017,Saturday,True
20170618,2017-06-18,18,6,June,2,2017,Sunday,True
20170619,2017-06-19,19,6,June,2,2017,Monday,False
20170620,2017-06-20,20,6,June,2,2017,Tuesday,False
20170621,2017-06-21,21,6,June,2,2017,Wednesday,False
20170622,2017-06-22,22,6,June,2,2017,Thursday,False
20170623,2017-06-23,23,6,June,2,2017,Friday,False
20170624,2017-06-24,24,6,June,2,2017,Saturday,True
20170625,2017-06-25,25,6,June,2,2017,Sunday,True
20170626,2017-06-26,26,6,June,2,2017,Monday,False
20170627,2017-06-27,27,6,June,2,2017,Tuesday,False
20170628,2017-06-28,28,6,June,2,2017,Wednesday,False
20170629,2017-06-29,29,6,June,2,2017,Thursday,False
20170630,2017-06-30,30,6,June,2,2017,Friday,False
20170701,2017-07-01,1,7,July,3,2017,Saturday,True
20170702,2017-07-02,2,7,July,3,2017,Sunday,True
20170703,2017-07-03,3,7,July,3,2017,Monday,False
20170704,2017-07-04,4,7,July,3,2017,Tuesday,False
20170705,2017-07-05,5,7,July,3,2017,Wednesday,False
20170706,2017-07-06,6,7,July,3,2017,Thursday,False
20170707,2017-07-07,7,7,July,3,2017,Friday,False
20170708,2017-07-08,8,7,July,3,2017,Saturday,True
20170709,2017-07-09,9,7,July,3,2017,Sunday,True
20170710,2017-07-10,10,7,July,3,2017,Monday,False
20170711,2017-07-11,11,7,July,3,2017,Tuesday,False
20170712,2017-07-12,12,7,July,3,2017,Wednesday,False
20170713,2017-07-13,13,7,July,3,2017,Thursday,False
20170714,2017-07-14,14,7,July,3,2017,Friday,False
20170715,2017-07-15,15,7,July,3,2017,Saturday,True
20170716,2017-07-16,16,7,July,3,2017,Sunday,True
20170717,2017-07-17,17,7,July,3,2017,Monday,False
20170718,2017-07-18,18,7,July,3,2017,Tuesday,False
20170719,2017-07-19,19,7,July,3,2017,Wednesday,False
20170720,2017-07-20,20,7,July,3,2017,Thursday,False
20170721,2017-07-21,21,7,July,3,2017,Friday,False
20170722,2017-07-22,22,7,July,3,2017,Saturday,True
20170723,2017-07-23,23,7,July,3,2017,Sunday,True
20170724,2017-07-24,24,7,July,3,2017,Monday,False
20170725,2017-07-25,25,7,July,3,2017,Tuesday,False
20170726,2017-07-26,26,7,July,3,2017,Wednesday,False
20170727,2017-07-27,27,7,July,3,2017,Thursday,False
20170728,2017-07-28,28,7,July,3,2017,Friday,False
20170729,2017-07-29,29,7,July,3,2017,Saturday,True
20170730,2017-07-30,30,7,July,3,2017,Sunday,True
20170731,2017-07-31,31,7,July,3,2017,Monday,False
20170801,2017-08-01,1,8,August,3,2017,Tuesday,False
20170802,2017-08-02,2,8,August,3,2017,Wednesday,False
20170803,2017-08-03,3,8,August,3,2017,Thursday,False
20170804,2017-08-04,4,8,August,3,2017,Friday,False
20170805,2017-08-05,5,8,August,3,2017,Saturday,True
20170806,2017-08-06,6,8,August,3,2017,Sunday,True
20170807,2017-08-07,7,8,August,3,2017,Monday,False
20170808,2017-08-08,8,8,August,3,2017,Tuesday,False
20170809,2017-08-09,9,8,August,3,2017,Wednesday,False
20170810,2017-08-10,10,8,August,3,2017,Thursday,False
20170811,2017-08-11,11,8,August,3,2017,Friday,False
20170812,2017-08-12,12,8,August,3,2017,Saturday,True
20170813,2017-08-13,13,8,August,3,2017,Sunday,True
20170814,2017-08-14,14,8,August,3,2017,Monday,False
20170815,2017-08-15,15,8,August,3,2017,Tuesday,False
20170816,2017-08-16,16,8,August,3,2017,Wednesday,False
20170817,2017-08-17,17,8,August,3,2017,Thursday,False
20170818,2017-08-18,18,8,August,3,2017,Friday,False
20170819,2017-08-19,19,8,August,3,2017,Saturday,True
20170820,2017-08-20,20,8,August,3,2017,Sunday,True
20170821,2017-08-21,21,8,August,3,2017,Monday,False
20170822,2017-08-22,22,8,August,3,2017,Tuesday,False
20170823,2017-08-23,23,8,August,3,2017,Wednesday,False
20170824,2017-08-24,24,8,August,3,2017,Thursday,False
20170825,2017-08-25,25,8,August,3,2017,Friday,False
20170826,2017-08-26,26,8,August,3,2017,Saturday,True
20170827,2017-08-27,27,8,August,3,2017,Sunday,True
20170828,2017-08-28,28,8,August,3,2017,Monday,False
20170829,2017-08-29,29,8,August,3,2017,Tuesday,False
20170830,2017-08-30,30,8,August,3,2017,Wednesday,False
20170831,2017-08-31,31,8,August,3,2017,Thursday,False
20170901,2017-09-01,1,9,September,3,2017,Friday,False
20170902,2017-09-02,2,9,September,3,2017,Saturday,True
20170903,2017-09-03,3,9,September,3,2017,Sunday,True
20170904,2017-09-04,4,9,September,3,2017,Monday,False
20170905,2017-09-05,5,9,September,3,2017,Tuesday,False
20170906,2017-09-06,6,9,September,3,2017,Wednesday,False
20170907,2017-09-07,7,9,September,3,2017,Thursday,False
20170908,2017-09-08,8,9,September,3,2017,Friday,False
20170909,2017-09-09,9,9,September,3,2017,Saturday,True
20170910,2017-09-10,10,9,September,3,2017,Sunday,True
20170911,2017-09-11,11,9,September,3,2017,Monday,False
20170912,2017-09-12,12,9,September,3,2017,Tuesday,False
20170913,2017-09-13,13,9,September,3,2017,Wednesday,False
20170914,2017-09-14,14,9,September,3,2017,Thursday,False
20170915,2017-09-15,15,9,September,3,2017,Friday,False
20170916,2017-09-16,16,9,September,3,2017,Saturday,True
20170917,2017-09-17,17,9,September,3,2017,Sunday,True
20170918,2017-09-18,18,9,September,3,2017,Monday,False
20170919,2017-09-19,19,9,September,3,2017,Tuesday,False
